"","KH","ATTITUDE_ENG.5","INTEREST_ENG.5","CLASSMATERELATION.5","CAMPUS_CONDITION.5","SATISIFACTION_LEARNING_MATH.5","STRATEGY_MATH.5","THR_MATH_NEW.5","PISA_12_ST81_ENG.5","THR_ENG_NEW.5","HOMEWOK_CORR_MATH","STRATEGE_ENG.5","SATISIFACTION_LEARNING_ENG.5","HOMEWOK_CORR_ENG.5","STUDYINTEREST_MATH.5","STEP_CLASSMATERELATION.5","PISA_12_ST81_MATH.5","MATH_ENG_STRESS_5","MANNERS.5","SOCIAL_MORALS.5","HARD_WORK.5","MP_ADD_5","SOLIDARITY_FRIENDSHIP.5","MORAL_DUTY.5","THRIFTY.5","AWARE.5","SENSE_HONOR.5","GRA_GEOMETRY.5","SELF_PROTECTION.5","ENG_LEVEL_5","ENG5","ENG_LEVE5_KNOWLEDGE_T1","ENG_LEVE5_KNOWLEDGE_T2","MATH_LEVE5_KNOWLEDGE_T1","MATH_LEVE5_KNOWLEDGE_T2","MATH5","MATH_LEVE5_THINKING_T2","MATH_LEVE5_THINKING_T1","ATTITUDE_ENG.9","INTEREST_ENG.9","CLASSMATERELATION.9","STUDYINTEREST_MATH.9","CAMPUS_CONDITION.9","STUDYATTITUDE_MATH_9","SATISIFACTION_LEARNING_MATH.9","STRATEGY_MATH.9","DISCLIMA","THR_MATH_NEW.9","PISA_12_ST81_ENG.9","THR_ENG_NEW.9","SATISIFACTION_LEARNING_ENG.9","STRATEGE_ENG.9","HOMEWOK_CORR_ENG.9","STEP_CLASSMATERELATION.9","PISA_12_ST81_MATH.9","MATH_ENG_STRESS_9","MANNERS.9","SOCIAL_MORALS.9","SENSE_HONOR.9","HARD_WORK.9","SOLIDARITY_FRIENDSHIP.9","MORAL_DUTY.9","THRIFTY.9","AWARE.9","MP_ADD_9","GRA_GEOMETRY.9","SELF_PROTECTION.9","ENG_LEVE9_KNOWLEDGE_T1","ENG_LEVE9_KNOWLEDGE_T2","ENG9","ENG_LEVEL_9","MATH9","MATH_LEVE9_THINKING_T1","MATH_LEVE9_THINKING_T2","MATH_LEVE9_KNOWLEDGE_T1","MATH_LEVE9_KNOWLEDGE_T2"
"1",1052010101,586.23,621.79,588.3,481.7,509.82,539.17,593.96,658.28,534.49,503.54,628.91,633.98,682.82,555.37,4,663,578.18,NA,NA,NA,568.83,NA,NA,NA,NA,NA,NA,NA,4,680.7,712.18,607.76,621.62,623.97,631.39,534.85,666.54,403.4,400.91,354.42,429.31,456.97,460.4,423.8,417.5,512.43,424.42,438.1,500.03,422.62,442.46,668.21,1,501.49,564.62,379.99,487.88,534.92,398.01,420.07,397.92,472.91,579.75,575.09,596.9,551.69,613.14,592.47,574.94,3,611.2,647.56,702.33,664.52,500.4
"2",1052010102,586.23,486.39,359.71,423.55,691.82,460.49,593.96,542.17,534.49,611.31,604.11,NA,365.38,392.83,1,551.98,578.18,NA,NA,NA,490.47,NA,NA,NA,NA,NA,NA,NA,3,572.32,547.71,657.06,723.27,627.76,714.06,507.94,503.14,493.7,480.29,446.41,526.86,549.67,544.52,460.85,568.21,512.43,445.59,535.26,500.03,384.25,525.01,549.36,2,449.95,538.63,437.89,516.49,468.16,667.44,486.54,496.15,420.05,430.43,545.24,668.84,551.69,662.84,779.5,664.68,4,546.4,464.6,503.3,428.37,552
"3",1052010103,517.63,520.31,588.3,636.77,544.19,495.86,653.13,601.18,611.11,503.54,471.65,589.16,565.14,463.26,4,604.39,548.15,NA,NA,NA,310.71,NA,NA,NA,NA,NA,NA,NA,3,524.49,541.14,498.28,485.23,470.83,468.95,507.18,656.69,594.11,657.93,559.16,662.42,619.15,636.29,620.15,548.67,601.97,677,506.91,668.11,637.22,604.65,483.25,3,532.6,538.63,525.23,586.74,588.3,421.87,452.18,520.18,472.91,579.75,360.37,619.63,551.69,663.23,666.52,662.5,4,700.8,608.86,567.61,651.81,667.4
"4",1052010105,586.23,621.79,588.3,506.95,478.61,477.53,593.96,553.55,509.9,611.31,504.53,503.13,682.82,349.41,4,604.39,447.47,NA,NA,NA,406.95,NA,NA,NA,NA,NA,NA,NA,4,685.57,631.87,713.44,519.74,602.05,574.18,565.89,579.73,594.11,578.24,620.76,577.04,694.1,544.52,560.57,589.88,601.97,677,613.68,668.11,490.34,573,668.21,4,669.69,580.3,549.3,635.19,534.92,526.64,554.58,580.83,503.97,579.75,463.92,643.39,386.8,604.29,642.35,625.95,4,695.56,662.44,624.7,715.76,649.37
"5",1052010106,418.47,389.93,588.3,583.84,509.82,601.41,504.06,387.97,470.36,547.03,423.91,297.66,383.38,602.75,4,438.11,526.81,NA,NA,NA,523.64,NA,NA,NA,NA,NA,NA,NA,3,592.75,590.24,577.53,517.65,495.04,514.49,660.93,447.67,447.75,511.46,477.8,526.86,530.27,503.49,560.57,614.8,601.97,495.98,506.91,527.49,732.73,604.65,512.44,2,569.91,580.3,458.68,399.37,588.3,482.74,520.14,434.13,396.69,505.2,521.04,619.63,386.8,622.48,686.42,697.72,4,640.72,681.35,468.67,652.86,588.4
"6",1052010107,517.63,567.66,522.64,583.84,363.61,428.63,331.84,658.28,534.49,468.75,495.95,527.65,456.94,371.04,3,551.98,496.07,NA,NA,NA,264.72,NA,NA,NA,NA,NA,NA,NA,4,652.49,627.43,714.39,657.27,675.9,675.45,621.45,569.85,594.11,578.24,446.41,552.47,405.34,544.52,713.64,480.94,512.43,555.81,661.81,474.61,582.32,604.65,458.32,2,618.67,538.63,525.23,418.31,382.59,526.64,452.18,679.01,353.49,627.39,279.23,507.67,551.69,663.23,611.4,608.16,4,581.91,594.28,415.19,535.82,672.1
"7",1052010108,586.23,484.1,522.64,423.55,544.19,516.1,646.89,513.31,501.59,547.03,539.44,496.52,540.13,371.04,3,460.95,447.47,NA,NA,NA,490.47,NA,NA,NA,NA,NA,NA,NA,4,780.29,726.51,711.35,694.53,494.58,631.39,534.85,666.54,493.7,480.29,395.88,662.42,511.44,544.52,677.79,614.8,601.97,555.81,459.09,474.61,522.09,497.19,400.71,1,669.69,538.63,603.06,487.88,468.16,592.08,486.54,547.54,503.97,430.43,529.33,825.47,551.69,623.31,641.19,653.57,4,696.8,647.56,702.33,664.52,657.71
"8",1052010109,517.63,567.66,663.73,423.55,449.28,516.1,593.96,496.59,665.4,611.31,628.91,633.98,617.38,438.57,4,551.98,600.85,NA,NA,NA,490.47,NA,NA,NA,NA,NA,NA,NA,4,721.24,704.25,662.47,656.96,627.76,761.71,507.94,503.14,NA,NA,395.88,500.77,530.27,460.4,560.57,449.47,601.97,590.58,NA,NA,NA,NA,NA,1,569.91,568.58,398.41,487.88,364.79,356.24,412.48,434.13,472.91,579.75,512.47,399.67,551.69,663.23,666.52,643.72,4,546.4,436.41,503.3,428.37,552
"9",1052010110,586.23,567.66,428.03,636.77,509.82,539.17,653.13,658.28,565.71,611.31,533.02,527.65,617.38,654.86,2,663,629.75,NA,NA,NA,452.74,NA,NA,NA,NA,NA,NA,NA,3,586.43,583.44,607.76,735.82,548.26,716.24,635.52,656.69,544.56,578.24,559.16,500.77,530.27,590.99,529.45,568.21,512.43,445.59,481.84,627.57,490.34,506.32,483.25,3,501.49,564.62,525.23,516.49,647.35,482.74,486.54,520.18,539.91,505.2,440.48,574.73,551.69,656.73,673.74,666,4,629.32,608.86,567.61,651.81,573.81
"10",1052010111,517.63,411.95,359.71,441.04,449.28,526.81,541.37,475.74,534.49,693.47,504.88,408.58,682.82,489.97,1,551.98,548.15,NA,NA,NA,379.28,NA,NA,NA,NA,NA,NA,NA,3,561.14,547.71,607.1,555.76,719.74,639.94,707.92,649.57,594.11,657.93,559.16,697.85,654.64,636.29,713.64,686.21,601.97,590.58,661.81,668.11,552.52,620.4,549.36,3,501.49,538.63,636.43,635.19,647.35,667.44,595.82,679.01,707.61,505.2,397.55,825.47,551.69,604.29,673.74,625.95,4,645.48,608.73,702.33,627.24,606.41
"11",1052010112,517.63,458.77,522.64,376.78,544.19,601.41,352.58,521.41,611.11,383.05,628.91,434.01,617.38,463.26,3,514.42,630.04,NA,NA,NA,673.31,NA,NA,NA,NA,NA,NA,NA,4,654.26,607.48,718.35,609.56,692.78,679.34,691.48,649.11,594.11,425.88,395.88,382.96,456.97,503.49,423.8,530.55,397.71,349.57,459.09,431.6,490.34,506.32,400.71,1,386.86,647.31,574.89,516.49,647.35,482.74,638.41,580.83,405.3,667.99,715.84,552.71,386.8,470.31,530.83,530.72,3,602.09,616.44,519.44,598.68,559.28
"12",1052010113,586.23,567.66,588.3,636.77,584.42,650.77,653.13,658.28,665.4,547.03,665.83,589.16,605.31,654.86,4,663,496.07,NA,NA,NA,472.34,NA,NA,NA,NA,NA,487.11,NA,3,613.83,583.44,657.93,587.89,534.89,606.59,660.93,532.7,544.56,511.46,514.52,500.77,530.27,544.52,529.45,568.21,512.43,633.71,481.84,500.03,522.09,544.74,483.25,3,474.33,538.63,437.89,439.21,534.92,421.87,452.18,415.56,420.05,505.2,484.72,574.73,551.69,613.14,716.14,662.5,4,588.52,554.54,565.11,604.47,639.34
"13",1052010113,586.23,567.66,588.3,636.77,584.42,650.77,653.13,658.28,665.4,547.03,665.83,589.16,605.31,654.86,4,663,496.07,NA,NA,NA,472.34,NA,NA,NA,NA,NA,487.11,NA,3,613.83,583.44,657.93,587.89,534.89,606.59,660.93,532.7,544.56,511.46,514.52,500.77,530.27,544.52,529.45,568.21,512.43,633.71,481.84,500.03,522.09,544.74,483.25,3,474.33,538.63,437.89,439.21,534.92,421.87,452.18,415.56,420.05,505.2,484.72,574.73,551.69,613.14,716.14,662.5,4,588.52,554.54,565.11,604.47,639.34
"14",1052010114,517.63,389.93,522.64,636.77,363.61,495.86,530.89,475.74,470.36,611.31,513.49,408.58,617.38,415.22,3,438.11,372.19,NA,NA,NA,539.14,NA,NA,NA,NA,NA,NA,NA,3,584.7,602.64,570.7,555.4,552.93,563.88,621.45,569.85,403.4,400.91,446.41,475.7,422.31,389.48,496.39,513.41,397.71,405.21,459.09,431.6,490.34,506.32,415.24,2,449.95,609.34,480.1,439.21,421.36,526.64,452.18,434.13,472.91,430.43,552.91,574.73,551.69,591.39,599.13,594.08,3,676.54,594.28,525.72,679.07,672.1
"15",1052010115,586.23,567.66,481.05,362.15,421.03,539.17,474.64,387.97,453,611.31,628.91,680.87,346.65,371.04,3,399.31,548.15,435.74,450.09,458.56,411.965,572.01,636.05,435.04,510.91,353.85,575.52,545.26,4,721.24,704.25,662.47,621.62,494.58,546.17,534.85,666.54,544.56,480.29,559.16,526.86,570.14,NA,496.39,589.88,512.43,555.81,535.26,431.6,384.25,497.19,395.52,3,474.33,591.88,574.89,548.93,401.31,482.74,554.58,580.83,503.97,430.43,360.37,574.73,551.69,663.23,666.52,652.62,4,696.8,647.56,702.33,664.52,657.71
